                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89853,                0.75926,                0.98082,                 1.4708,             0.00023781,             0.00023781,             0.00023781
                      2,                 0.6466,                0.77183,                0.98677,                 1.4279,             0.00046011,             0.00046011,             0.00046011
                      3,                 0.6132,                0.78902,                0.99471,                 1.4062,              0.0006667,              0.0006667,              0.0006667
                      4,                0.56492,                0.81151,                0.99537,                 1.3952,             0.00064331,             0.00064331,             0.00064331
                      5,                0.50415,                0.81878,                0.99603,                   1.39,             0.00061975,             0.00061975,             0.00061975
                      6,                 0.4735,                0.83399,                0.99603,                 1.3549,             0.00059619,             0.00059619,             0.00059619
                      7,                0.43059,                0.82937,                0.99669,                 1.3747,             0.00057263,             0.00057263,             0.00057263
                      8,                0.40361,                0.83598,                0.99735,                 1.3487,             0.00054907,             0.00054907,             0.00054907
                      9,                0.37161,                0.82474,                0.99735,                 1.3531,              0.0005255,              0.0005255,              0.0005255
                     10,                0.33775,                0.81944,                0.99537,                 1.3658,             0.00050194,             0.00050194,             0.00050194
                     11,                  0.304,                0.84656,                0.99603,                 1.3382,             0.00047838,             0.00047838,             0.00047838
                     12,                0.29062,                 0.8459,                0.99603,                 1.3423,             0.00045482,             0.00045482,             0.00045482
                     13,                0.26185,                 0.8545,                0.99603,                 1.3229,             0.00043126,             0.00043126,             0.00043126
                     14,                   0.24,                0.84854,                0.99802,                 1.3315,             0.00040769,             0.00040769,             0.00040769
                     15,                0.22078,                0.86111,                0.99802,                 1.3162,             0.00038413,             0.00038413,             0.00038413
                     16,                0.20118,                 0.8545,                0.99735,                 1.3164,             0.00036057,             0.00036057,             0.00036057
                     17,                0.18013,                 0.8459,                0.99735,                 1.3257,             0.00033701,             0.00033701,             0.00033701
                     18,                0.16139,                0.84325,                0.99669,                 1.3266,             0.00031345,             0.00031345,             0.00031345
                     19,                0.15245,                0.84193,                0.99669,                 1.3288,             0.00028988,             0.00028988,             0.00028988
                     20,                0.13242,                 0.8459,                0.99868,                 1.3223,             0.00026632,             0.00026632,             0.00026632
                     21,                 0.1162,                0.84987,                0.99735,                 1.3198,             0.00024276,             0.00024276,             0.00024276
                     22,                0.10922,                0.84921,                0.99669,                 1.3187,              0.0002192,              0.0002192,              0.0002192
                     23,                 0.1012,                0.85119,                0.99802,                  1.319,             0.00019564,             0.00019564,             0.00019564
                     24,                0.09244,                0.83995,                0.99802,                 1.3234,             0.00017207,             0.00017207,             0.00017207
                     25,                0.08013,                0.84788,                0.99802,                 1.3194,             0.00014851,             0.00014851,             0.00014851
                     26,                0.06998,                0.84524,                0.99802,                 1.3194,             0.00012495,             0.00012495,             0.00012495
                     27,                0.06801,                0.84656,                0.99802,                  1.317,             0.00010139,             0.00010139,             0.00010139
                     28,                 0.0629,                0.85185,                0.99802,                 1.3168,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.05763,                0.85251,                0.99735,                 1.3142,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.05103,                0.85582,                0.99735,                 1.3127,             3.0702e-05,             3.0702e-05,             3.0702e-05
