                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93672,                0.76257,                0.98082,                 1.4748,             0.00023781,             0.00023781,             0.00023781
                      2,                0.65746,                0.74735,                0.98545,                 1.4444,             0.00046011,             0.00046011,             0.00046011
                      3,                0.61405,                0.78836,                0.99339,                 1.4193,              0.0006667,              0.0006667,              0.0006667
                      4,                0.55487,                0.80489,                0.99603,                 1.3911,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.4964,                0.81746,                0.99603,                 1.3749,             0.00061975,             0.00061975,             0.00061975
                      6,                0.46854,                0.83267,                0.99603,                 1.3651,             0.00059619,             0.00059619,             0.00059619
                      7,                0.41775,                0.82011,                0.99471,                 1.3724,             0.00057263,             0.00057263,             0.00057263
                      8,                0.39718,                0.83466,                0.99669,                 1.3496,             0.00054907,             0.00054907,             0.00054907
                      9,                0.36337,                0.83929,                0.99669,                 1.3456,              0.0005255,              0.0005255,              0.0005255
                     10,                0.33997,                0.81481,                0.99537,                  1.368,             0.00050194,             0.00050194,             0.00050194
                     11,                0.30644,                0.83862,                0.99735,                 1.3482,             0.00047838,             0.00047838,             0.00047838
                     12,                0.29344,                0.84392,                0.99669,                 1.3453,             0.00045482,             0.00045482,             0.00045482
                     13,                0.27051,                0.83333,                0.99603,                 1.3414,             0.00043126,             0.00043126,             0.00043126
                     14,                0.25416,                0.84325,                0.99669,                 1.3369,             0.00040769,             0.00040769,             0.00040769
                     15,                0.22743,                0.84656,                0.99537,                 1.3246,             0.00038413,             0.00038413,             0.00038413
                     16,                0.21453,                0.84524,                0.99802,                 1.3281,             0.00036057,             0.00036057,             0.00036057
                     17,                0.19312,                0.83929,                0.99735,                 1.3352,             0.00033701,             0.00033701,             0.00033701
                     18,                 0.1656,                0.84127,                0.99537,                 1.3322,             0.00031345,             0.00031345,             0.00031345
                     19,                0.16168,                0.84325,                0.99669,                   1.33,             0.00028988,             0.00028988,             0.00028988
                     20,                0.14588,                0.83135,                0.99669,                  1.335,             0.00026632,             0.00026632,             0.00026632
                     21,                0.13841,                0.84656,                0.99603,                 1.3256,             0.00024276,             0.00024276,             0.00024276
                     22,                0.12468,                0.84987,                0.99735,                 1.3221,              0.0002192,              0.0002192,              0.0002192
                     23,                0.11866,                0.84392,                0.99735,                 1.3257,             0.00019564,             0.00019564,             0.00019564
                     24,                0.10469,                0.84259,                0.99735,                 1.3272,             0.00017207,             0.00017207,             0.00017207
                     25,                0.09493,                0.83796,                0.99735,                 1.3249,             0.00014851,             0.00014851,             0.00014851
                     26,                0.08342,                0.84656,                0.99669,                 1.3247,             0.00012495,             0.00012495,             0.00012495
                     27,                0.08159,                0.84193,                0.99603,                 1.3194,             0.00010139,             0.00010139,             0.00010139
                     28,                 0.0715,                0.84788,                0.99735,                 1.3177,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.06937,                0.84524,                0.99603,                 1.3216,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.06217,                0.84854,                0.99603,                 1.3176,             3.0702e-05,             3.0702e-05,             3.0702e-05
