                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9728,                0.71759,                0.97817,                 1.5096,             0.00023781,             0.00023781,             0.00023781
                      2,                0.71964,                0.76521,                0.98347,                 1.4414,             0.00046011,             0.00046011,             0.00046011
                      3,                 0.6649,                0.76984,                0.99074,                 1.4259,              0.0006667,              0.0006667,              0.0006667
                      4,                0.61376,                0.78968,                0.99405,                 1.4088,             0.00064331,             0.00064331,             0.00064331
                      5,                0.56395,                 0.7963,                0.99669,                 1.4024,             0.00061975,             0.00061975,             0.00061975
                      6,                0.53113,                 0.8287,                0.99603,                 1.3771,             0.00059619,             0.00059619,             0.00059619
                      7,                0.49724,                0.81944,                0.99537,                 1.3902,             0.00057263,             0.00057263,             0.00057263
                      8,                0.48252,                 0.8254,                0.99603,                 1.3742,             0.00054907,             0.00054907,             0.00054907
                      9,                 0.4524,                0.80754,                0.99735,                 1.3803,              0.0005255,              0.0005255,              0.0005255
                     10,                0.43476,                0.80556,                0.99537,                 1.3802,             0.00050194,             0.00050194,             0.00050194
                     11,                0.40962,                0.82209,                0.99603,                 1.3659,             0.00047838,             0.00047838,             0.00047838
                     12,                0.39981,                0.82077,                0.99603,                 1.3672,             0.00045482,             0.00045482,             0.00045482
                     13,                0.38056,                 0.8373,                0.99669,                 1.3481,             0.00043126,             0.00043126,             0.00043126
                     14,                0.36692,                0.83862,                0.99603,                 1.3568,             0.00040769,             0.00040769,             0.00040769
                     15,                0.35503,                0.84127,                0.99735,                 1.3465,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.3391,                0.82672,                0.99603,                 1.3505,             0.00036057,             0.00036057,             0.00036057
                     17,                0.32766,                0.82738,                0.99802,                   1.35,             0.00033701,             0.00033701,             0.00033701
                     18,                0.30734,                 0.8373,                0.99537,                 1.3469,             0.00031345,             0.00031345,             0.00031345
                     19,                 0.3061,                 0.8373,                0.99735,                  1.348,             0.00028988,             0.00028988,             0.00028988
                     20,                0.28683,                0.83598,                0.99669,                 1.3434,             0.00026632,             0.00026632,             0.00026632
                     21,                0.27778,                0.84061,                0.99603,                 1.3371,             0.00024276,             0.00024276,             0.00024276
                     22,                 0.2707,                0.83929,                0.99405,                 1.3397,              0.0002192,              0.0002192,              0.0002192
                     23,                0.25926,                0.83929,                0.99669,                 1.3376,             0.00019564,             0.00019564,             0.00019564
                     24,                0.24896,                0.83995,                0.99603,                 1.3394,             0.00017207,             0.00017207,             0.00017207
                     25,                0.23701,                0.83664,                0.99603,                 1.3428,             0.00014851,             0.00014851,             0.00014851
                     26,                0.23586,                0.83267,                0.99603,                 1.3443,             0.00012495,             0.00012495,             0.00012495
                     27,                0.22428,                0.84127,                0.99537,                 1.3402,             0.00010139,             0.00010139,             0.00010139
                     28,                0.21567,                0.83796,                0.99537,                 1.3365,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.20931,                0.83598,                0.99603,                 1.3394,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.20375,                0.83399,                0.99603,                 1.3383,             3.0702e-05,             3.0702e-05,             3.0702e-05
