                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95699,                0.75066,                0.98545,                 1.4779,             0.00023781,             0.00023781,             0.00023781
                      2,                0.68346,                0.76257,                0.98611,                 1.4328,             0.00046011,             0.00046011,             0.00046011
                      3,                0.63239,                0.76323,                0.99206,                  1.431,              0.0006667,              0.0006667,              0.0006667
                      4,                0.57692,                0.80622,                0.99669,                 1.3893,             0.00064331,             0.00064331,             0.00064331
                      5,                0.52006,                0.81481,                0.99471,                 1.3838,             0.00061975,             0.00061975,             0.00061975
                      6,                0.48848,                0.83598,                0.99669,                 1.3629,             0.00059619,             0.00059619,             0.00059619
                      7,                0.45072,                0.83598,                0.99537,                 1.3658,             0.00057263,             0.00057263,             0.00057263
                      8,                0.42273,                0.81481,                0.99537,                 1.3702,             0.00054907,             0.00054907,             0.00054907
                      9,                0.39766,                0.82804,                0.99537,                 1.3546,              0.0005255,              0.0005255,              0.0005255
                     10,                0.37631,                0.82672,                0.99669,                 1.3614,             0.00050194,             0.00050194,             0.00050194
                     11,                0.34323,                0.84127,                0.99603,                 1.3476,             0.00047838,             0.00047838,             0.00047838
                     12,                0.33509,                0.83862,                0.99669,                 1.3541,             0.00045482,             0.00045482,             0.00045482
                     13,                0.31094,                0.84458,                0.99405,                  1.335,             0.00043126,             0.00043126,             0.00043126
                     14,                0.28887,                0.84127,                0.99603,                 1.3399,             0.00040769,             0.00040769,             0.00040769
                     15,                0.27358,                0.84854,                0.99537,                 1.3312,             0.00038413,             0.00038413,             0.00038413
                     16,                0.26241,                0.83796,                0.99868,                 1.3338,             0.00036057,             0.00036057,             0.00036057
                     17,                 0.2414,                0.84656,                0.99735,                 1.3342,             0.00033701,             0.00033701,             0.00033701
                     18,                0.22132,                0.84392,                0.99669,                 1.3326,             0.00031345,             0.00031345,             0.00031345
                     19,                0.21557,                0.85317,                0.99735,                 1.3234,             0.00028988,             0.00028988,             0.00028988
                     20,                 0.1935,                0.84524,                0.99669,                 1.3228,             0.00026632,             0.00026632,             0.00026632
                     21,                0.18212,                0.85516,                0.99669,                 1.3171,             0.00024276,             0.00024276,             0.00024276
                     22,                0.17064,                0.85251,                0.99669,                  1.321,              0.0002192,              0.0002192,              0.0002192
                     23,                0.16685,                0.85516,                0.99669,                 1.3169,             0.00019564,             0.00019564,             0.00019564
                     24,                0.14745,                0.84854,                0.99603,                 1.3238,             0.00017207,             0.00017207,             0.00017207
                     25,                0.13983,                0.84921,                0.99735,                 1.3204,             0.00014851,             0.00014851,             0.00014851
                     26,                0.12922,                0.85251,                0.99471,                 1.3206,             0.00012495,             0.00012495,             0.00012495
                     27,                0.12535,                0.85185,                0.99669,                 1.3202,             0.00010139,             0.00010139,             0.00010139
                     28,                0.11248,                0.84921,                0.99603,                   1.32,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.10726,                0.84325,                0.99603,                 1.3181,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.10403,                0.85119,                0.99603,                 1.3171,             3.0702e-05,             3.0702e-05,             3.0702e-05
