                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88339,                0.76653,                0.97817,                  1.457,             0.00023781,             0.00023781,             0.00023781
                      2,                0.64692,                0.78241,                0.98743,                 1.4201,             0.00046011,             0.00046011,             0.00046011
                      3,                0.61861,                0.78439,                0.99206,                 1.4153,              0.0006667,              0.0006667,              0.0006667
                      4,                0.56786,                0.78241,                0.99669,                 1.4145,             0.00064331,             0.00064331,             0.00064331
                      5,                0.51142,                0.81548,                0.99339,                 1.3852,             0.00061975,             0.00061975,             0.00061975
                      6,                0.48249,                0.83003,                0.99603,                 1.3678,             0.00059619,             0.00059619,             0.00059619
                      7,                0.42541,                0.84259,                0.99735,                 1.3551,             0.00057263,             0.00057263,             0.00057263
                      8,                0.40309,                0.82209,                0.99537,                  1.364,             0.00054907,             0.00054907,             0.00054907
                      9,                0.36597,                0.83333,                0.99339,                 1.3483,              0.0005255,              0.0005255,              0.0005255
                     10,                0.34409,                0.83003,                0.99669,                  1.355,             0.00050194,             0.00050194,             0.00050194
                     11,                0.30542,                0.84524,                0.99669,                 1.3384,             0.00047838,             0.00047838,             0.00047838
                     12,                0.29318,                0.84193,                0.99471,                 1.3429,             0.00045482,             0.00045482,             0.00045482
                     13,                0.26432,                 0.8545,                0.99735,                 1.3252,             0.00043126,             0.00043126,             0.00043126
                     14,                0.23843,                 0.8545,                0.99603,                 1.3282,             0.00040769,             0.00040769,             0.00040769
                     15,                0.22228,                0.85516,                0.99802,                  1.323,             0.00038413,             0.00038413,             0.00038413
                     16,                0.19645,                0.84987,                0.99802,                 1.3241,             0.00036057,             0.00036057,             0.00036057
                     17,                0.17937,                0.84987,                0.99603,                 1.3227,             0.00033701,             0.00033701,             0.00033701
                     18,                0.15363,                0.84788,                0.99405,                 1.3228,             0.00031345,             0.00031345,             0.00031345
                     19,                0.14658,                0.85979,                0.99603,                 1.3147,             0.00028988,             0.00028988,             0.00028988
                     20,                0.12744,                0.85185,                0.99603,                 1.3154,             0.00026632,             0.00026632,             0.00026632
                     21,                0.11471,                0.86111,                0.99603,                 1.3098,             0.00024276,             0.00024276,             0.00024276
                     22,                0.10967,                0.85714,                0.99735,                 1.3106,              0.0002192,              0.0002192,              0.0002192
                     23,                0.09865,                0.85847,                0.99603,                 1.3096,             0.00019564,             0.00019564,             0.00019564
                     24,                0.08503,                0.85648,                0.99537,                 1.3092,             0.00017207,             0.00017207,             0.00017207
                     25,                0.07954,                0.86243,                0.99669,                 1.3096,             0.00014851,             0.00014851,             0.00014851
                     26,                0.06956,                 0.8578,                0.99735,                   1.31,             0.00012495,             0.00012495,             0.00012495
                     27,                0.05831,                0.86177,                0.99802,                 1.3055,             0.00010139,             0.00010139,             0.00010139
                     28,                0.05726,                0.85317,                0.99669,                 1.3074,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.05263,                0.85516,                0.99603,                 1.3075,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.04879,                0.85847,                0.99603,                 1.3041,             3.0702e-05,             3.0702e-05,             3.0702e-05
