                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95484,                0.75926,                 0.9828,                 1.4707,             0.00023762,             0.00023762,             0.00023762
                      2,                 0.6655,                0.73743,                 0.9795,                 1.4687,             0.00045992,             0.00045992,             0.00045992
                      3,                0.63181,                0.76124,                0.99074,                  1.428,             0.00066652,             0.00066652,             0.00066652
                      4,                0.58642,                0.80489,                0.99537,                 1.4063,             0.00064331,             0.00064331,             0.00064331
                      5,                0.53627,                0.81283,                0.99405,                  1.395,             0.00061975,             0.00061975,             0.00061975
                      6,                0.47889,                0.83069,                0.99735,                 1.3726,             0.00059619,             0.00059619,             0.00059619
                      7,                0.44254,                0.82606,                0.99537,                 1.3604,             0.00057263,             0.00057263,             0.00057263
                      8,                0.41235,                0.82937,                0.99802,                 1.3555,             0.00054907,             0.00054907,             0.00054907
                      9,                0.38736,                0.85053,                0.99669,                 1.3436,              0.0005255,              0.0005255,              0.0005255
                     10,                0.35673,                0.83929,                0.99868,                 1.3443,             0.00050194,             0.00050194,             0.00050194
                     11,                0.33148,                0.84656,                0.99735,                 1.3474,             0.00047838,             0.00047838,             0.00047838
                     12,                0.30323,                0.84854,                0.99669,                 1.3248,             0.00045482,             0.00045482,             0.00045482
                     13,                0.28363,                0.84524,                0.99603,                 1.3341,             0.00043126,             0.00043126,             0.00043126
                     14,                0.26501,                0.84921,                0.99537,                 1.3305,             0.00040769,             0.00040769,             0.00040769
                     15,                0.24946,                0.85185,                0.99603,                 1.3193,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.2129,                0.84656,                0.99537,                 1.3267,             0.00036057,             0.00036057,             0.00036057
                     17,                0.20002,                0.86111,                0.99735,                 1.3115,             0.00033701,             0.00033701,             0.00033701
                     18,                0.18435,                0.86839,                0.99934,                 1.3099,             0.00031345,             0.00031345,             0.00031345
                     19,                 0.1697,                0.83796,                0.99735,                 1.3373,             0.00028988,             0.00028988,             0.00028988
                     20,                0.13994,                0.85847,                0.99603,                 1.3156,             0.00026632,             0.00026632,             0.00026632
                     21,                0.13274,                 0.8545,                0.99802,                  1.314,             0.00024276,             0.00024276,             0.00024276
                     22,                0.13407,                0.85516,                0.99735,                 1.3115,              0.0002192,              0.0002192,              0.0002192
                     23,                0.12088,                0.85979,                0.99603,                 1.3116,             0.00019564,             0.00019564,             0.00019564
                     24,                0.09988,                0.86839,                0.99537,                 1.3089,             0.00017207,             0.00017207,             0.00017207
                     25,                0.09431,                0.85714,                0.99537,                 1.3104,             0.00014851,             0.00014851,             0.00014851
                     26,                0.07919,                0.86706,                0.99802,                 1.3011,             0.00012495,             0.00012495,             0.00012495
                     27,                0.07353,                0.86574,                0.99735,                 1.2988,             0.00010139,             0.00010139,             0.00010139
                     28,                0.06988,                0.87103,                0.99802,                 1.2949,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.06374,                0.86971,                0.99735,                 1.2984,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.05924,                0.86706,                0.99802,                  1.298,             3.0702e-05,             3.0702e-05,             3.0702e-05
