                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99859,                0.73148,                0.97222,                 1.4962,             0.00023762,             0.00023762,             0.00023762
                      2,                0.67234,                0.75992,                0.97817,                  1.445,             0.00045992,             0.00045992,             0.00045992
                      3,                0.62715,                0.74008,                0.99272,                 1.4364,             0.00066652,             0.00066652,             0.00066652
                      4,                0.57567,                 0.7619,                0.99272,                 1.4354,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.5111,                0.81415,                0.99272,                 1.3838,             0.00061975,             0.00061975,             0.00061975
                      6,                0.46185,                0.82407,                0.99471,                  1.375,             0.00059619,             0.00059619,             0.00059619
                      7,                  0.427,                0.82606,                0.99735,                 1.3744,             0.00057263,             0.00057263,             0.00057263
                      8,                0.40086,                0.84193,                0.99735,                 1.3474,             0.00054907,             0.00054907,             0.00054907
                      9,                0.36501,                0.84325,                0.99669,                 1.3435,              0.0005255,              0.0005255,              0.0005255
                     10,                0.35673,                0.84061,                0.99669,                 1.3431,             0.00050194,             0.00050194,             0.00050194
                     11,                 0.3226,                0.84722,                0.99471,                 1.3334,             0.00047838,             0.00047838,             0.00047838
                     12,                0.29777,                0.84987,                0.99735,                  1.333,             0.00045482,             0.00045482,             0.00045482
                     13,                0.27908,                0.85516,                0.99735,                 1.3233,             0.00043126,             0.00043126,             0.00043126
                     14,                0.25559,                0.85053,                0.99471,                  1.331,             0.00040769,             0.00040769,             0.00040769
                     15,                0.23815,                0.85251,                0.99405,                 1.3189,             0.00038413,             0.00038413,             0.00038413
                     16,                0.20538,                0.85384,                0.99537,                 1.3172,             0.00036057,             0.00036057,             0.00036057
                     17,                  0.204,                0.84656,                0.99537,                 1.3222,             0.00033701,             0.00033701,             0.00033701
                     18,                  0.181,                0.85714,                0.99537,                 1.3192,             0.00031345,             0.00031345,             0.00031345
                     19,                0.16995,                0.83995,                0.99405,                 1.3342,             0.00028988,             0.00028988,             0.00028988
                     20,                0.14776,                0.84722,                0.99405,                 1.3172,             0.00026632,             0.00026632,             0.00026632
                     21,                0.13334,                0.84987,                0.99669,                 1.3143,             0.00024276,             0.00024276,             0.00024276
                     22,                0.14924,                0.85516,                0.99603,                 1.3124,              0.0002192,              0.0002192,              0.0002192
                     23,                0.12264,                0.86177,                0.99537,                 1.3097,             0.00019564,             0.00019564,             0.00019564
                     24,                 0.1104,                0.85847,                0.99537,                 1.3133,             0.00017207,             0.00017207,             0.00017207
                     25,                0.10225,                0.85979,                0.99471,                 1.3133,             0.00014851,             0.00014851,             0.00014851
                     26,                0.09035,                0.86905,                0.99669,                 1.3078,             0.00012495,             0.00012495,             0.00012495
                     27,                0.08326,                0.86442,                0.99405,                  1.308,             0.00010139,             0.00010139,             0.00010139
                     28,                0.07144,                 0.8664,                0.99339,                 1.3027,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.07291,                0.86376,                0.99339,                  1.306,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.06947,                 0.8631,                0.99339,                  1.307,             3.0702e-05,             3.0702e-05,             3.0702e-05
