                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0151,                0.72685,                0.96759,                 1.5032,             0.00023762,             0.00023762,             0.00023762
                      2,                0.71636,                0.72817,                0.98214,                 1.4744,             0.00045992,             0.00045992,             0.00045992
                      3,                0.65889,                0.75198,                0.99471,                 1.4394,             0.00066652,             0.00066652,             0.00066652
                      4,                0.60771,                0.74206,                0.99008,                 1.4439,             0.00064331,             0.00064331,             0.00064331
                      5,                0.56257,                0.79497,                 0.9881,                 1.4016,             0.00061975,             0.00061975,             0.00061975
                      6,                0.52149,                0.81944,                0.99206,                 1.3778,             0.00059619,             0.00059619,             0.00059619
                      7,                0.50367,                0.83003,                0.99471,                 1.3763,             0.00057263,             0.00057263,             0.00057263
                      8,                0.47076,                0.81019,                0.99735,                 1.3776,             0.00054907,             0.00054907,             0.00054907
                      9,                0.45409,                0.83399,                0.99339,                 1.3618,              0.0005255,              0.0005255,              0.0005255
                     10,                0.44195,                0.82738,                0.99537,                 1.3565,             0.00050194,             0.00050194,             0.00050194
                     11,                0.41916,                0.84854,                0.99272,                 1.3512,             0.00047838,             0.00047838,             0.00047838
                     12,                0.39543,                0.83598,                0.99603,                 1.3506,             0.00045482,             0.00045482,             0.00045482
                     13,                0.38115,                0.86243,                0.99471,                 1.3354,             0.00043126,             0.00043126,             0.00043126
                     14,                0.36838,                0.82804,                0.99339,                 1.3548,             0.00040769,             0.00040769,             0.00040769
                     15,                0.35163,                0.85119,                0.99405,                 1.3333,             0.00038413,             0.00038413,             0.00038413
                     16,                0.33708,                0.85582,                0.99471,                 1.3348,             0.00036057,             0.00036057,             0.00036057
                     17,                0.32525,                0.86243,                0.99471,                 1.3236,             0.00033701,             0.00033701,             0.00033701
                     18,                 0.3059,                0.86045,                0.99405,                  1.318,             0.00031345,             0.00031345,             0.00031345
                     19,                0.29942,                 0.8373,                0.99339,                  1.343,             0.00028988,             0.00028988,             0.00028988
                     20,                0.27615,                0.84127,                0.99471,                 1.3422,             0.00026632,             0.00026632,             0.00026632
                     21,                0.27754,                 0.8578,                0.99537,                 1.3215,             0.00024276,             0.00024276,             0.00024276
                     22,                0.27034,                0.85913,                0.99339,                 1.3213,              0.0002192,              0.0002192,              0.0002192
                     23,                0.26604,                0.84722,                0.99471,                 1.3292,             0.00019564,             0.00019564,             0.00019564
                     24,                0.24951,                0.86243,                0.99537,                 1.3193,             0.00017207,             0.00017207,             0.00017207
                     25,                0.24677,                0.85251,                0.99603,                 1.3219,             0.00014851,             0.00014851,             0.00014851
                     26,                0.23138,                 0.8631,                0.99471,                 1.3171,             0.00012495,             0.00012495,             0.00012495
                     27,                0.22286,                0.86905,                0.99405,                 1.3209,             0.00010139,             0.00010139,             0.00010139
                     28,                0.22533,                0.85582,                0.99471,                 1.3181,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.21771,                0.86045,                0.99537,                 1.3168,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                  0.207,                0.85648,                0.99537,                  1.317,             3.0702e-05,             3.0702e-05,             3.0702e-05
