                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0061,                0.69246,                0.97288,                 1.4983,             0.00023762,             0.00023762,             0.00023762
                      2,                0.69132,                 0.7295,                0.98743,                   1.48,             0.00045992,             0.00045992,             0.00045992
                      3,                 0.6368,                0.75529,                0.99074,                 1.4227,             0.00066652,             0.00066652,             0.00066652
                      4,                0.59037,                0.78241,                0.99272,                 1.4018,             0.00064331,             0.00064331,             0.00064331
                      5,                0.52795,                0.79431,                0.98942,                 1.4158,             0.00061975,             0.00061975,             0.00061975
                      6,                0.48445,                0.82672,                0.99471,                 1.3689,             0.00059619,             0.00059619,             0.00059619
                      7,                0.45814,                0.83399,                0.99339,                 1.3604,             0.00057263,             0.00057263,             0.00057263
                      8,                0.42388,                0.82606,                0.99405,                 1.3543,             0.00054907,             0.00054907,             0.00054907
                      9,                0.40654,                0.85185,                0.99537,                 1.3506,              0.0005255,              0.0005255,              0.0005255
                     10,                0.38085,                0.83598,                0.99603,                 1.3382,             0.00050194,             0.00050194,             0.00050194
                     11,                0.36217,                0.84722,                0.99802,                 1.3387,             0.00047838,             0.00047838,             0.00047838
                     12,                0.32792,                0.85185,                0.99669,                 1.3344,             0.00045482,             0.00045482,             0.00045482
                     13,                0.32169,                0.85648,                0.99735,                 1.3295,             0.00043126,             0.00043126,             0.00043126
                     14,                0.29911,                0.84325,                0.99603,                 1.3342,             0.00040769,             0.00040769,             0.00040769
                     15,                0.28976,                0.85185,                0.99802,                 1.3275,             0.00038413,             0.00038413,             0.00038413
                     16,                0.25426,                0.85185,                0.99603,                 1.3236,             0.00036057,             0.00036057,             0.00036057
                     17,                 0.2588,                0.85648,                0.99735,                 1.3185,             0.00033701,             0.00033701,             0.00033701
                     18,                0.22381,                0.85119,                0.99735,                 1.3185,             0.00031345,             0.00031345,             0.00031345
                     19,                0.21416,                0.82606,                0.99603,                 1.3402,             0.00028988,             0.00028988,             0.00028988
                     20,                0.19388,                0.85648,                0.99868,                 1.3186,             0.00026632,             0.00026632,             0.00026632
                     21,                0.18547,                0.85251,                0.99802,                  1.318,             0.00024276,             0.00024276,             0.00024276
                     22,                0.18717,                0.84854,                0.99669,                 1.3196,              0.0002192,              0.0002192,              0.0002192
                     23,                0.17775,                0.85119,                0.99405,                 1.3212,             0.00019564,             0.00019564,             0.00019564
                     24,                0.15457,                0.86045,                0.99471,                 1.3141,             0.00017207,             0.00017207,             0.00017207
                     25,                0.15347,                0.86376,                0.99669,                 1.3099,             0.00014851,             0.00014851,             0.00014851
                     26,                0.13747,                0.86177,                0.99669,                  1.313,             0.00012495,             0.00012495,             0.00012495
                     27,                0.13144,                0.86177,                0.99735,                 1.3089,             0.00010139,             0.00010139,             0.00010139
                     28,                0.12209,                 0.8578,                0.99735,                 1.3101,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.11873,                 0.8545,                0.99669,                 1.3115,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.11618,                0.85847,                0.99603,                 1.3108,             3.0702e-05,             3.0702e-05,             3.0702e-05
