                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92581,                0.72751,                0.97288,                 1.4958,             0.00023762,             0.00023762,             0.00023762
                      2,                 0.6577,                0.75728,                0.98611,                 1.4462,             0.00045992,             0.00045992,             0.00045992
                      3,                0.63086,                0.76786,                0.99008,                 1.4371,             0.00066652,             0.00066652,             0.00066652
                      4,                0.58823,                0.75728,                0.99339,                   1.44,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.5181,                0.81085,                0.99405,                 1.3764,             0.00061975,             0.00061975,             0.00061975
                      6,                0.47014,                0.83862,                0.99802,                 1.3802,             0.00059619,             0.00059619,             0.00059619
                      7,                0.44172,                0.85053,                0.99603,                 1.3539,             0.00057263,             0.00057263,             0.00057263
                      8,                0.40975,                0.83466,                0.99669,                 1.3477,             0.00054907,             0.00054907,             0.00054907
                      9,                0.37521,                0.84458,                0.99405,                 1.3491,              0.0005255,              0.0005255,              0.0005255
                     10,                 0.3507,                0.85913,                0.99471,                 1.3297,             0.00050194,             0.00050194,             0.00050194
                     11,                0.32098,                0.85648,                0.99735,                 1.3284,             0.00047838,             0.00047838,             0.00047838
                     12,                0.29844,                0.85648,                0.99669,                 1.3258,             0.00045482,             0.00045482,             0.00045482
                     13,                0.28818,                0.85714,                0.99669,                 1.3233,             0.00043126,             0.00043126,             0.00043126
                     14,                0.25132,                0.85913,                0.99537,                 1.3217,             0.00040769,             0.00040769,             0.00040769
                     15,                0.24013,                0.85847,                0.99735,                 1.3148,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.2091,                0.86706,                0.99669,                 1.3099,             0.00036057,             0.00036057,             0.00036057
                     17,                0.19903,                0.88029,                0.99537,                 1.3046,             0.00033701,             0.00033701,             0.00033701
                     18,                0.17224,                0.87169,                0.99669,                 1.3046,             0.00031345,             0.00031345,             0.00031345
                     19,                0.15999,                 0.8578,                0.99735,                 1.3176,             0.00028988,             0.00028988,             0.00028988
                     20,                0.14718,                 0.8664,                0.99537,                 1.3071,             0.00026632,             0.00026632,             0.00026632
                     21,                0.11923,                0.86177,                0.99537,                 1.3116,             0.00024276,             0.00024276,             0.00024276
                     22,                0.12859,                0.87302,                0.99669,                 1.3016,              0.0002192,              0.0002192,              0.0002192
                     23,                0.11083,                0.86111,                0.99802,                  1.308,             0.00019564,             0.00019564,             0.00019564
                     24,                 0.0998,                0.86442,                0.99868,                 1.3071,             0.00017207,             0.00017207,             0.00017207
                     25,                 0.0906,                0.86508,                0.99669,                 1.3013,             0.00014851,             0.00014851,             0.00014851
                     26,                0.07633,                0.85913,                0.99735,                 1.3083,             0.00012495,             0.00012495,             0.00012495
                     27,                0.07342,                0.86971,                0.99868,                 1.3004,             0.00010139,             0.00010139,             0.00010139
                     28,                0.06753,                  0.875,                0.99802,                 1.2949,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.06066,                0.86574,                0.99669,                 1.2967,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.05507,                0.87302,                0.99603,                 1.2936,             3.0702e-05,             3.0702e-05,             3.0702e-05
