,precision,recall,f1-score,support
AKIEC,0.6888888888888889,0.7209302325581395,0.7045454545454546,43.0
BCC,0.8765432098765432,0.7634408602150538,0.8160919540229885,93.0
BKL,0.8535353535353535,0.7788018433179723,0.8144578313253013,217.0
DF,1.0,0.5227272727272727,0.6865671641791045,44.0
MEL,0.6549707602339181,0.6549707602339181,0.6549707602339181,171.0
NV,0.9008264462809917,0.9592959295929593,0.9291422482685135,909.0
VASC,0.9230769230769231,0.6857142857142857,0.7868852459016393,35.0
accuracy,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112
macro avg,0.8425487974132313,0.7265544549085144,0.7703800940681315,1512.0
weighted avg,0.8621143151025307,0.8611111111111112,0.8579825384746691,1512.0
