,precision,recall,f1-score,support
AKIEC,0.627906976744186,0.627906976744186,0.627906976744186,43.0
BCC,0.8160919540229885,0.7634408602150538,0.7888888888888889,93.0
BKL,0.8291457286432161,0.7603686635944701,0.7932692307692307,217.0
DF,0.9310344827586207,0.6136363636363636,0.7397260273972602,44.0
MEL,0.6488095238095238,0.6374269005847953,0.6430678466076696,171.0
NV,0.8977035490605428,0.9460946094609461,0.9212640599892876,909.0
VASC,0.9285714285714286,0.7428571428571429,0.8253968253968254,35.0
accuracy,0.8498677248677249,0.8498677248677249,0.8498677248677249,0.8498677248677249
macro avg,0.8113233776586438,0.7273902167275654,0.7627885508276212,1512.0
weighted avg,0.8487074383257653,0.8498677248677249,0.8474448122606693,1512.0
