,precision,recall,f1-score,support
AKIEC,0.5689655172413793,0.7674418604651163,0.6534653465346535,43.0
BCC,0.8192771084337349,0.7311827956989247,0.7727272727272727,93.0
BKL,0.772093023255814,0.7649769585253456,0.7685185185185185,217.0
DF,0.95,0.4318181818181818,0.59375,44.0
MEL,0.6645161290322581,0.6023391812865497,0.6319018404907976,171.0
NV,0.8983228511530398,0.9427942794279428,0.9200214707461084,909.0
VASC,0.8888888888888888,0.6857142857142857,0.7741935483870968,35.0
accuracy,0.83994708994709,0.83994708994709,0.83994708994709,0.83994708994709
macro avg,0.7945805025721592,0.7037525061337639,0.7306539996292069,1512.0
weighted avg,0.8408209756917782,0.83994708994709,0.8361823218312383,1512.0
