,precision,recall,f1-score,support
AKIEC,0.6818181818181818,0.6976744186046512,0.6896551724137931,43.0
BCC,0.8214285714285714,0.7419354838709677,0.7796610169491526,93.0
BKL,0.8301886792452831,0.8110599078341014,0.8205128205128205,217.0
DF,0.9565217391304348,0.5,0.6567164179104478,44.0
MEL,0.6666666666666666,0.6432748538011696,0.6547619047619048,171.0
NV,0.9026178010471204,0.9482948294829483,0.924892703862661,909.0
VASC,0.8620689655172413,0.7142857142857143,0.78125,35.0
accuracy,0.8558201058201058,0.8558201058201058,0.8558201058201058,0.8558201058201058
macro avg,0.8173300864076427,0.7223607439827934,0.7582071480586828,1512.0
weighted avg,0.854894797502606,0.8558201058201058,0.8526097585680229,1512.0
